ensp,gene
ENSP00000314067,PAK2
ENSP00000314193,WDR75
ENSP00000314348,DDX10
ENSP00000314499,GAK
ENSP00000314505,MCM9
ENSP00000315410,OSBPL3
ENSP00000315700,CHAF1B
ENSP00000315713,SSH1
ENSP00000315791,CSTF3
ENSP00000316032,NUP98
ENSP00000316109,AGGF1
ENSP00000316291,RBBP6
ENSP00000316454,PACS1
ENSP00000316512,TLK2
ENSP00000316527,ZNF609
ENSP00000316543,RAPH1
ENSP00000317123,SNRNP200
ENSP00000317334,TCP1
ENSP00000317404,CHST13
ENSP00000317473,RABGGTB
ENSP00000317537,TLE5
ENSP00000317561,ZBTB8A
ENSP00000317695,NFX1
ENSP00000317714,STX4
ENSP00000317790,SPTBN5
ENSP00000317804,ZDHHC8
ENSP00000317985,ROCK2
ENSP00000317992,NOC2L
ENSP00000318012,SET
ENSP00000318131,PNMA8A
ENSP00000318176,PRKRA
ENSP00000318177,FUBP3
ENSP00000318195,NUCLEOLIN
ENSP00000318406,KIAA0319L
ENSP00000318690,GCFC2
ENSP00000318775,ANAPC4
ENSP00000318861,SF3B2
ENSP00000318884,FMN2
ENSP00000318900,SOBP
ENSP00000318944,TRAF7
ENSP00000319231,PHLDA2
ENSP00000319240,MAGOHB
ENSP00000319388,MAMDC4
ENSP00000319417,SKA3
ENSP00000319469,TMEM214
ENSP00000319664,NUDC
ENSP00000320117,TRIP10
ENSP00000320204,IGF2BP2
ENSP00000320232,LRTM3
ENSP00000320298,PTPN2
ENSP00000320309,FARSA
ENSP00000320485,ARID1A
ENSP00000320663,EML4
ENSP00000320821,KIF1C
ENSP00000320853,BRSK1
ENSP00000320898,RNF168
ENSP00000320968,AMOTL1
ENSP00000321195,ATP11B
ENSP00000321259,TALDO1
ENSP00000321309,VCX2
ENSP00000321365,RAD23A
ENSP00000321537,LLGL1
ENSP00000321584,IMPDH2
ENSP00000321703,TACC1
ENSP00000322147,RTN4
ENSP00000322182,SORBS2
ENSP00000322568,SOX11
ENSP00000322791,KIF1A
ENSP00000322915,ZMYM4
ENSP00000322926,FARP1
ENSP00000323148,ZKSCAN1
ENSP00000323152,PHF21A
ENSP00000323288,RPUSD2
ENSP00000323300,SPAG5
ENSP00000323332,CRTC1
ENSP00000323462,MTMR14
ENSP00000323687,UBE2O
ENSP00000323720,MED14
ENSP00000323782,CCDC43
ENSP00000323837,SLC4A1AP
ENSP00000323879,ZNRF2
ENSP00000324020,KIF15
ENSP00000324135,CCDC93
ENSP00000324245,SHROOM1
ENSP00000324287,ACAP2
ENSP00000324422,ZYX
ENSP00000324573,FLII
ENSP00000324792,NFATC2IP
ENSP00000324827,AKAP17A
ENSP00000325166,FMN1
ENSP00000325312,METAP2
ENSP00000325376,HNRNPM
ENSP00000325377,WDR33
ENSP00000325494,GLIS3
ENSP00000325681,CCZ1
ENSP00000325827,SEC16A
ENSP00000325863,MRE11
ENSP00000326128,LARP4B
ENSP00000326200,ZBTB11
ENSP00000326630,ZFPM1
ENSP00000326900,TNRC6A
ENSP00000327054,LMNB2
ENSP00000327077,PCM1
ENSP00000327758,NKX2-5
ENSP00000328023,SRPRA
ENSP00000328059,RLIM
ENSP00000328062,WASHC4
ENSP00000328088,PAWR
ENSP00000328336,CEND1
ENSP00000328426,TASOR2
ENSP00000328720,FOXK1
ENSP00000329170,POU3F2
ENSP00000329219,FMNL1
ENSP00000329357,SP1
ENSP00000329419,COPB2
ENSP00000329436,TMCC2
ENSP00000329492,RMP24
ENSP00000329532,SMTN
ENSP00000329662,H1-10
ENSP00000330074,H1-5
ENSP00000330188,RSRC2
ENSP00000330460,DDX59
ENSP00000330694,NSMCE3
ENSP00000330842,RGPD6
ENSP00000331305,TOB2
ENSP00000331487,NPLOC4
ENSP00000331678,PKP3
ENSP00000331720,HAPSTR1
ENSP00000331737,EP400
ENSP00000331879,PRMT3
ENSP00000331901,EEF1G
ENSP00000331907,DHX34
ENSP00000331983,CARMIL1
ENSP00000332373,SUGP2
ENSP00000332628,CHD3
ENSP00000333470,BET1L
ENSP00000333568,PRKD1
ENSP00000333697,TMEM179B
ENSP00000333920,TTF1
ENSP00000334058,CPEB2
ENSP00000334156,SPTBN1
ENSP00000334229,C2CD5
ENSP00000334289,C9orf85
ENSP00000334375,LRCH3
ENSP00000334379,C2CD3
ENSP00000334431,EXOC1
ENSP00000334618,KLC1
ENSP00000334642,PDZD8
ENSP00000334675,ERCC6L
ENSP00000334703,COG5
ENSP00000334958,CARMIL2
ENSP00000335029,RASA3
